date,latitude,longitude,elevation,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration
2020-02-28 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.421166,,11.467,5.2,43286.28,,27.72,19.72,3.5603151
2020-02-29 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.962833,20.017,11.266999,9.800002,43301.117,9.605998,,21.99,3.958868
2020-03-01 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.89825,19.817001,10.917,0.8000001,43316.055,12.43434,29.16,21.48,3.875958
2020-03-02 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.494083,20.717001,10.217,3.7,43331.074,8.825508,26.64,22.18,4.0731974
2020-03-03 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.758667,21.517,9.167,1.6000001,43346.16,7.9932976,23.759998,23.44,4.2912636
2020-03-04 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,,21.517,9.467,0.2,43361.31,15.141414,38.16,24.6,
2020-03-05 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.914916,22.117,7.017,0.0,43376.508,16.75064,41.399998,28.45,5.1420026
2020-03-06 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.823249,22.017,,0.8,43391.746,10.483357,,,4.901754
2020-03-07 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.112832,20.667,9.617,3.1000001,43407.008,14.145756,33.48,21.2,3.7878978
2020-03-08 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.296166,20.317001,,6.2999997,43422.285,9.826088,29.16,20.35,3.7257893
2020-03-09 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.756584,20.267,10.516999,,43437.566,9.793058,30.960001,20.01,3.6813717
2020-03-10 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.458667,20.667,,,43452.84,6.87779,28.08,18.59,3.4378605
2020-03-11 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.712834,20.667,10.867,6.8,43468.094,10.105681,30.960001,21.44,3.8399608
2020-03-12 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.542,19.967001,11.617,3.1000001,43483.32,11.542478,30.960001,,
2020-03-13 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.777417,18.867,8.867,10.099999,43498.504,,30.599998,20.91,3.6039536
2020-03-14 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.050331,18.217001,12.016999,,43513.66,11.367109,31.68,16.17,2.8726506
2020-03-15 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.741998,18.667,10.467,13.4,43528.89,11.542478,31.319998,17.55,2.9804254
2020-03-16 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.019084,18.717001,10.867,6.1000004,43544.21,10.805999,30.599998,20.88,3.5673232
2020-03-17 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.516999,19.967001,8.516999,2.7,43559.613,,32.760002,24.24,4.2143126
2020-03-18 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.606583,,,2.4,43575.082,12.429127,32.039997,,3.7857637
2020-03-19 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.869083,,9.217,3.9,43590.613,13.084402,,22.05,3.8293943
2020-03-20 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.187835,17.767,9.566999,,43606.188,14.113653,36.719997,20.49,3.400441
2020-03-21 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,12.062832,17.767,7.117,9.3,43621.805,12.7279215,,21.97,3.55859
2020-03-22 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,12.22325,19.167,5.6670003,0.0,43637.45,12.605142,,,4.534025
2020-03-23 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,12.564918,18.417,7.567,0.3,43653.11,11.631956,30.960001,21.6,3.7925975
2020-03-24 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.285751,18.867,8.316999,1.6,43668.78,9.72,25.919998,21.64,
2020-03-25 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.264916,19.667,,8.599999,43684.45,8.4042845,24.119999,20.72,
2020-03-26 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.5044985,19.417,,,43700.1,11.304229,30.239998,18.56,3.199774
2020-03-27 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.727416,21.017,9.566999,,43715.734,13.698934,35.64,23.03,3.9760525
2020-03-28 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.687833,,11.167,2.3,43731.33,15.629971,37.079998,20.77,3.6976664
2020-03-29 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.808669,19.667,,0.1,43746.875,,46.8,24.52,4.3245397
2020-03-30 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.989914,19.967001,9.167,0.4,43762.367,16.79314,33.12,,3.8926687
2020-03-31 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.054501,20.017,8.917,0.2,,12.984975,33.839996,19.21,3.489651
2020-04-01 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.716999,,9.417,16.1,43793.137,10.594036,30.599998,17.77,
2020-04-02 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.2857485,20.167,9.467,0.7,43808.395,12.496718,33.48,18.83,3.420896
2020-04-03 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,15.285751,20.517,11.867,0.1,43823.566,15.7908325,38.88,21.84,4.0061374
2020-04-04 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,15.077416,,,0.4,43838.76,12.096214,34.2,19.71,3.5919015
2020-04-05 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.939916,20.767,9.667,1.0,43853.992,16.75064,39.6,20.46,3.7383537
2020-04-06 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,15.181582,20.367,,,43869.246,15.807239,41.039997,19.91,3.6705768
2020-04-07 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.821168,20.817001,10.417,,43884.51,19.008545,50.039997,20.62,3.8408232
2020-04-08 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.662834,20.667,9.367,0.2,43899.777,16.1198,39.6,19.84,
2020-04-09 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,15.046166,20.517,10.316999,3.6,43915.04,16.279802,39.96,20.25,3.7386076
2020-04-10 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,15.073251,,9.516999,1.9000002,43930.277,,41.399998,21.63,3.9534144
2020-04-11 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.725333,20.417,9.516999,0.5,43945.496,14.904173,,18.46,3.4719598
2020-04-12 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.904502,19.917,10.667,0.0,43960.664,21.194187,49.68,,3.575832
2020-04-13 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.021167,22.017,6.317,,43975.793,15.683776,39.239998,26.7,4.8360357
2020-04-14 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.625333,19.067001,8.917,12.400001,43990.848,13.556282,34.92,20.55,3.4875407
2020-04-15 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,,18.667,7.4170003,17.900002,44005.836,13.797913,35.28,21.51,3.5647507
2020-04-16 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.1545,19.367,8.667,,,14.494192,,21.7,3.804751
2020-04-17 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.781585,19.067001,10.316999,,44035.543,17.283749,41.399998,19.62,3.497022
2020-04-18 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,14.112835,19.267,9.967,0.9,44050.242,15.459054,37.8,21.77,3.9380617
2020-04-19 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.775333,18.317001,10.066999,2.4,44064.82,7.928178,22.68,19.97,3.5774846
2020-04-20 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.646165,18.817001,9.167,2.1000001,44079.26,13.551501,33.12,21.9,3.895792
2020-04-21 00:00:00+00:00,4.674868106842041,-74.18719482421875,2542.0,13.954498,17.967001,9.967,2.6000001,,11.252519,29.88,17.53,3.111941
